regime,model,p,auc_mean,auc_std
iid,equivariant,0.0,0.8378425500000001,0.011746784564408726
iid,equivariant,0.1,0.83614265,0.018829888851754913
iid,equivariant,0.2,0.8380211,0.023200414799692187
iid,equivariant,0.35,0.83850475,0.030074146959593425
iid,non_equivariant,0.0,0.8198596,0.029288796531312642
iid,non_equivariant,0.1,0.83587165,0.021251879424143482
iid,non_equivariant,0.2,0.8332255500000001,0.020814409233682836
iid,non_equivariant,0.35,0.8286200499999999,0.022792816533394922
correlated,equivariant,0.0,0.8378425500000001,0.011746784564408726
correlated,equivariant,0.05,0.84391935,0.009948596361212585
correlated,equivariant,0.1,0.8340913499999999,0.029663242706954154
correlated,equivariant,0.2,0.7738991499999999,0.08094591789517035
correlated,non_equivariant,0.0,0.8198596,0.029288796531312642
correlated,non_equivariant,0.05,0.82805465,0.03129461087351944
correlated,non_equivariant,0.1,0.81739245,0.02294470623459071
correlated,non_equivariant,0.2,0.7146307000000001,0.16186753022271022
