model,n_qubits,auc_mean,auc_std
equivariant,2.0,0.8249677999999999,0.028245543616255288
equivariant,4.0,0.8378425500000001,0.011746784564408726
equivariant,6.0,0.8354346500000001,0.017349051218134168
equivariant,8.0,0.837861,0.020124368082556545
non_equivariant,2.0,0.8039929499999999,0.06729643788139905
non_equivariant,4.0,0.8198596,0.029288796531312642
non_equivariant,6.0,0.8438172500000001,0.012069980459456682
non_equivariant,8.0,0.8375712500000001,0.014492231607255445
classical_matched,all,0.6053391749999999,0.03968454934502548
classical_reference,all,0.86020495,0.0082320545572907
